id,mensagem,rotulo,categoria,sinais,tag_urgencia,tag_autoridade_impersonacao,tag_dado_sensivel,tag_link_suspeito,tag_pedido_sigilo,tag_oferta_boa_demais
1,URGENTE: Sua conta foi BLOQUEADA por atividade suspeita. Regularize agora em: bit.ly/itau-regulariza ou será encerrada em 24h.,golpe,falso_banco_bloqueio,urgencia;autoridade_impersonacao;dado_sensivel,1,1,1,0,0,0
2,[Banco Santander] Identificamos acesso não autorizado. Confirme seus dados agora clicando no link para evitar o bloqueio definitivo: santander-seguro.info/confirmar,golpe,falso_banco_bloqueio,urgencia;autoridade_impersonacao;dado_sensivel,1,1,1,0,0,0
3,Caixa Econômica: sua conta apresenta pendência crítica. Acesse imediatamente caixa-atendimento.net e informe CPF e senha para não ser bloqueada hoje.,golpe,falso_banco_bloqueio,urgencia;autoridade_impersonacao;dado_sensivel,1,1,1,0,0,0
4,Atenção cliente Nubank: detectamos uma tentativa de fraude. Envie o código que chegou por SMS agora para cancelarmos a transação suspeita.,golpe,falso_banco_bloqueio,urgencia;autoridade_impersonacao;dado_sensivel,1,1,1,0,0,0
5,Seu cartão foi suspenso por segurança. Ligue AGORA para o número 0800 informado no link e tenha em mãos senha e código do cartão para reativação.,golpe,falso_banco_bloqueio,urgencia;autoridade_impersonacao;dado_sensivel,1,1,1,0,0,0
6,Receita Federal informa: sua declaração está com pendência que pode gerar multa. Regularize em receita-gov-restituicao.com informando CPF e dados bancários.,golpe,falso_governo,urgencia;autoridade_impersonacao;dado_sensivel,1,1,1,0,0,0
7,INSS: seu benefício foi suspenso por falta de recadastramento biométrico. Clique no link e confirme seus dados em até 48h para não perder o pagamento.,golpe,falso_governo,urgencia;autoridade_impersonacao;dado_sensivel,1,1,1,0,0,0
8,"Prezado contribuinte, você tem uma restituição de R$ 1.847,32 disponível. Acesse o link e informe seus dados bancários para receber ainda hoje: gov-restituicao.online",golpe,falso_governo,urgencia;autoridade_impersonacao;dado_sensivel,1,1,1,0,0,0
9,"Comunicado do Ministério da Saúde: para manter seu auxílio, confirme seus dados pessoais e envie o código de verificação enviado por SMS.",golpe,falso_governo,urgencia;autoridade_impersonacao;dado_sensivel,1,1,1,0,0,0
10,"Correios: sua encomenda está retida por pendência de taxa alfandegária de R$ 12,90. Pague via PIX agora para liberar a entrega: correios-taxa.shop",golpe,falsa_entrega_empresa,urgencia;autoridade_impersonacao;link_suspeito,1,1,0,1,0,0
11,[Loggi] Não conseguimos entregar seu pacote. Atualize seu endereço e pague a taxa de reentrega em até 2 horas ou o pedido será devolvido: loggi-entrega.net,golpe,falsa_entrega_empresa,urgencia;autoridade_impersonacao;link_suspeito,1,1,0,1,0,0
12,Mercado Livre: identificamos um problema no pagamento do seu pedido #48213. Confirme os dados do cartão agora para não perder a compra.,golpe,falsa_entrega_empresa,urgencia;autoridade_impersonacao;link_suspeito,1,1,0,1,0,0
13,"Mãe, quebrei meu celular e esse é um número emprestado, to com um problema sério e preciso que você me manda um PIX de 800 reais agora, depois te explico, não conta pro papai ainda.",golpe,falso_familiar_emergencia,urgencia;pedido_pagamento;pedido_sigilo,1,0,0,0,1,0
14,"Pai, fui envolvido em um acidente e preciso pagar uma taxa no hospital urgente, me manda o PIX nesse número, por favor não liga pra ninguém agora, te explico depois.",golpe,falso_familiar_emergencia,urgencia;pedido_pagamento;pedido_sigilo,1,0,0,0,1,0
15,"Aqui é da equipe médica, seu filho está internado e precisamos de um adiantamento de R$ 950 pra procedimento urgente, pode fazer o PIX agora? Não avise a família ainda pra não causar pânico.",golpe,falso_familiar_emergencia,urgencia;pedido_pagamento;pedido_sigilo,1,0,0,0,1,0
16,"Parabéns! Você foi selecionado para trabalhar de casa ganhando R$ 350 por dia só curtindo vídeos. Vagas limitadas, clique agora: renda-facil-hoje.click",golpe,falso_emprego_investimento,urgencia;oferta_boa_demais;pedido_pagamento,1,0,0,0,0,1
17,"Oportunidade única: dobre seu dinheiro investindo em nossa plataforma exclusiva. Primeiros 50 cadastros ganham bônus de 100%. Não perca, vagas se esgotam hoje!",golpe,falso_emprego_investimento,urgencia;oferta_boa_demais;pedido_pagamento,1,0,0,0,0,1
18,"RH Empresa XPTO: você passou na triagem! Para seguir no processo, envie uma taxa de cadastro de R$ 89 via PIX ainda hoje e garanta sua vaga.",golpe,falso_emprego_investimento,urgencia;oferta_boa_demais;pedido_pagamento,1,0,0,0,0,1
19,Suporte WhatsApp: detectamos tentativa de clonagem da sua conta. Envie o código de 6 dígitos que acabamos de mandar para cancelar o processo imediatamente.,golpe,falso_suporte_tecnico,urgencia;autoridade_impersonacao;dado_sensivel;link_suspeito,1,1,1,1,0,0
20,"Olá, sou da equipe de segurança do Instagram. Sua conta será excluída em 24h por violação de termos. Confirme sua senha atual respondendo esta mensagem para evitar o bloqueio.",golpe,falso_suporte_tecnico,urgencia;autoridade_impersonacao;dado_sensivel;link_suspeito,1,1,1,1,0,0
21,Atenção: identificamos login suspeito na sua conta Google a partir de outro país. Clique aqui e informe sua senha para bloquear o acesso invasor agora: google-seguranca-conta.com,golpe,falso_suporte_tecnico,urgencia;autoridade_impersonacao;dado_sensivel;link_suspeito,1,1,1,1,0,0
22,"PARABÉNS!! Você foi sorteado com um iPhone 16 Pro Max GRÁTIS! Clique no link agora e pague apenas a taxa de frete de R$ 19,90 para receber: sorteio-premiado.shop",golpe,falso_premio_sorteio,urgencia;oferta_boa_demais;dado_sensivel,1,0,1,0,0,1
23,Você ganhou um vale-compras de R$ 2.000 em nossa promoção surpresa! Confirme seus dados e o código recebido por SMS para resgatar antes que expire em 1 hora.,golpe,falso_premio_sorteio,urgencia;oferta_boa_demais;dado_sensivel,1,0,1,0,0,1
24,"Empresa de cosméticos está sorteando 10 kits grátis hoje! Só preciso confirmar seu CPF e endereço para envio imediato, corre que as vagas acabam!",golpe,falso_premio_sorteio,urgencia;oferta_boa_demais;dado_sensivel,1,0,1,0,0,1
25,"Oi, aqui é da administradora do prédio. Precisamos que você refaça o PIX da taxa condominial pois o anterior não caiu, chave: 11999998888, urgente até hoje.",golpe,falsa_cobranca_pix,urgencia;pedido_pagamento;autoridade_impersonacao,1,1,0,0,0,0
26,"Boa tarde, seu boleto está vencido e gerando juros altos. Para evitar negativação, faça o pagamento agora via PIX na chave abaixo e envie o comprovante.",golpe,falsa_cobranca_pix,urgencia;pedido_pagamento;autoridade_impersonacao,1,1,0,0,0,0
27,"Reenviando: houve um erro na chave PIX anterior, por favor refaça a transferência do salário para esta nova chave o quanto antes.",golpe,falsa_cobranca_pix,urgencia;pedido_pagamento;autoridade_impersonacao,1,1,0,0,0,0
28,"Oi, tudo bem? Vamos marcar aquele café amanhã à tarde? Só confirma o horário que fica melhor pra você.",legitimo,conversa_pessoal,nenhum,0,0,0,0,0,0
29,"Lembrete: sua consulta com o Dr. Marcos está agendada para dia 15/08 às 14h. Em caso de dúvidas, ligue para a clínica.",legitimo,lembrete_legitimo,nenhum,0,0,0,0,0,0
30,"Prezado cliente, seu pedido #48213 foi enviado e a previsão de entrega é 10/08. Acompanhe pelo código de rastreio no site oficial.",legitimo,notificacao_legitima,nenhum,0,0,0,0,0,0
31,"Sua fatura do cartão fecha dia 20 e vence dia 27. O valor está disponível no aplicativo do banco, sem necessidade de ação agora.",legitimo,notificacao_legitima,nenhum,0,0,0,0,0,0
32,"Equipe, a reunião de amanhã foi remarcada para 10h. Qualquer ajuste, me avisem por aqui mesmo.",legitimo,conversa_trabalho,nenhum,0,0,0,0,0,0
33,Recebemos sua solicitação de suporte. Um atendente entrará em contato em até 2 dias úteis pelo canal oficial no app.,legitimo,notificacao_legitima,nenhum,0,0,0,0,0,0
34,"Oi mãe, cheguei bem em casa! Amanhã te ligo pra combinar o almoço de domingo.",legitimo,conversa_pessoal,nenhum,0,0,0,0,0,0
35,"Confirmando: seu voo LATAM 3456 embarca às 19h40, portão 12. Chegue com 2h de antecedência.",legitimo,notificacao_legitima,nenhum,0,0,0,0,0,0
36,"Seu código de verificação é 482913. Nunca compartilhe este código com ninguém, nem mesmo com atendentes do banco.",legitimo,aviso_seguranca_legitimo,nenhum,0,0,0,0,0,0
37,A escola informa que a reunião de pais será no dia 20/08 às 19h no auditório. Presença não obrigatória.,legitimo,notificacao_legitima,nenhum,0,0,0,0,0,0
38,"Meu amor, finalmente vou conseguir ir te visitar, mas fiquei preso na alfândega e preciso de R$ 1.200 pra liberar minha bagagem. Pode me ajudar? Não conta pra ninguém, é constrangedor.",golpe,falso_romance,urgencia;pedido_pagamento;pedido_sigilo,1,0,0,0,1,0
39,"Querida, te amo muito e quero construir algo sério com você, mas surgiu uma emergência médica aqui e não tenho ninguém além de você para pedir ajuda com PIX urgente.",golpe,falso_romance,urgencia;pedido_pagamento;pedido_sigilo,1,0,0,0,1,0
40,Ajude as vítimas da enchente AGORA! Cada PIX conta. Doe já para esta chave e compartilhe antes que seja tarde: chave 'ajuda.emergencial@pix.com'.,golpe,falsa_doacao,urgencia;pedido_pagamento;oferta_boa_demais,1,0,0,0,0,1
41,"Campanha urgente: criança precisa de cirurgia e a família não tem recursos. Doe qualquer valor via PIX hoje, a vida dela depende disso.",golpe,falsa_doacao,urgencia;pedido_pagamento;oferta_boa_demais,1,0,0,0,0,1
42,"Vi que você tem interesse no anúncio, mas só fecho negócio hoje. Faz o PIX de sinal agora que te garanto o produto e envio ainda de tarde.",golpe,falso_marketplace,urgencia;pedido_pagamento;link_suspeito,1,0,0,1,0,0
43,"Comprador, para agilizar a entrega do produto pelo Mercado Livre, clique neste link e confirme seus dados de pagamento fora da plataforma: pagamento-rapido-ml.shop",golpe,falso_marketplace,urgencia;pedido_pagamento;link_suspeito,1,0,0,1,0,0
44,"Nossa, é você nessa foto?? Olha isso aqui: fotos-privadas-vazadas.net/ver - apaga rápido antes que mais gente veja, não conta que fui eu que mandei.",golpe,link_malicioso,urgencia;link_suspeito;pedido_sigilo,1,0,0,1,1,0
45,"Kkkkkk olha esse vídeo seu que estão compartilhando por aí, corre pra ver antes que tirem do ar: video-viral-agora.click",golpe,link_malicioso,urgencia;link_suspeito;pedido_sigilo,1,0,0,1,1,0
